building_type,zone,imp_cr1,imp_cr2,imp_cr3,imp_cr4,imp_cr5,imp_cr6,imp_cr7
Residential,"North Europe",0.166666667,0.333333333,0.083333333,0.083333333,0.083333333,0.166666667,0.083333333
Residential,"West Europe",0.166666667,0.333333333,0.083333333,0.083333333,0.083333333,0.166666667,0.083333333
Residential,"South Europe",0.166666667,0.333333333,0.083333333,0.083333333,0.083333333,0.166666667,0.083333333
Residential,"North-East Europe",0.166666667,0.333333333,0.083333333,0.083333333,0.083333333,0.166666667,0.083333333
Residential,"South -East Europe",0.166666667,0.333333333,0.083333333,0.083333333,0.083333333,0.166666667,0.083333333
